Step   50000 (g22.1+d67.9)s       | [D] min: 0.08       max: 1.55      | [R_te] min: 270.82         max: 595.39         Avg: 436.70 (28.92)      | ent 0.002 | w_noise: [0.01446 0.01615 0.02364 0.06232 0.12833 0.25616 0.34275 0.44727 0.53595 0.65886]
Step   51000 (g22.1+d68.0)s       | [D] min: 0.06       max: 1.80      | [R_te] min: 413.52         max: 849.88         Avg: 509.04 (37.51)      | ent 0.002 | w_noise: [0.01429 0.01604 0.02356 0.06207 0.12781 0.25536 0.34328 0.44746 0.53690 0.65902]
Step   52000 (g22.1+d68.0)s       | [D] min: 0.17       max: 1.44      | [R_te] min: 261.37         max: 485.75         Avg: 353.29 (19.59)      | ent 0.002 | w_noise: [0.01420 0.01602 0.02337 0.06187 0.12715 0.25487 0.34270 0.44909 0.53580 0.66094]
Step   53000 (g22.1+d67.9)s       | [D] min: 0.17       max: 1.87      | [R_te] min: 250.60         max: 1106.34        Avg: 437.79 (74.38)      | ent 0.002 | w_noise: [0.01417 0.01599 0.02323 0.06191 0.12789 0.25564 0.34202 0.44820 0.53600 0.66105]
Step   54000 (g22.1+d68.0)s       | [D] min: 0.13       max: 1.72      | [R_te] min: 328.26         max: 590.82         Avg: 462.45 (30.00)      | ent 0.002 | w_noise: [0.01410 0.01583 0.02309 0.06174 0.12774 0.25555 0.34202 0.44869 0.53647 0.65904]
Step   55000 (g22.1+d67.9)s       | [D] min: 0.10       max: 2.68      | [R_te] min: 344.80         max: 558.87         Avg: 452.14 (22.83)      | ent 0.002 | w_noise: [0.01410 0.01577 0.02301 0.06171 0.12771 0.25496 0.34293 0.44810 0.53583 0.66078]
Step   56000 (g22.2+d68.1)s       | [D] min: 0.17       max: 1.33      | [R_te] min: 226.56         max: 468.50         Avg: 332.89 (20.98)      | ent 0.002 | w_noise: [0.01412 0.01579 0.02301 0.06224 0.12790 0.25676 0.34383 0.44982 0.53647 0.66043]
Step   57000 (g22.1+d68.0)s       | [D] min: 0.18       max: 1.51      | [R_te] min: 363.39         max: 468.82         Avg: 406.94 (10.95)      | ent 0.002 | w_noise: [0.01407 0.01587 0.02302 0.06225 0.12807 0.25788 0.34547 0.45051 0.53980 0.66112]
Step   58000 (g22.1+d68.0)s       | [D] min: 0.13       max: 1.85      | [R_te] min: 292.51         max: 532.31         Avg: 460.73 (20.48)      | ent 0.002 | w_noise: [0.01399 0.01578 0.02296 0.06200 0.12758 0.25723 0.34498 0.44935 0.53798 0.66053]
Step   59000 (g22.1+d68.0)s       | [D] min: 0.13       max: 1.97      | [R_te] min: 413.28         max: 640.08         Avg: 510.11 (23.49)      | ent 0.002 | w_noise: [0.01397 0.01567 0.02282 0.06175 0.12797 0.25707 0.34395 0.44911 0.53601 0.66122]
